timestamp,doc_id,page,stage,model,prompt_tokens,completion_tokens,total_tokens,cost_usd
2025-08-14T19:57:35,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,1,extract,,3598,263,3861,0.011625
2025-08-14T19:58:24,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,2,extract,,3702,828,4530,0.017535
2025-08-14T19:59:31,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,3,extract,,3719,1021,4740,0.019507499999999997
2025-08-14T20:00:00,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,4,extract,,3719,613,4332,0.0154275
2025-08-14T20:00:38,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,5,extract,,3632,798,4430,0.017060000000000002
2025-08-14T20:00:50,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,6,extract,,3461,69,3530,0.0093425
2025-08-14T20:01:40,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,7,extract,,3608,1169,4777,0.02071
2025-08-14T20:03:11,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,8,extract,,3616,1691,5307,0.02595
2025-08-14T20:03:47,AXEyqskVmTSINyysrlnRzCsGlÉnG0WurÉftjzEiel7OU5J4fkZAorNbHxWHJq7SfMnzUM57rdvkFed9KP8KÁv5Q=,9,extract,,3633,871,4504,0.017792500000000003
2025-08-14T20:04:12,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,1,extract,,3595,350,3945,0.0124875
2025-08-14T20:05:36,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,2,extract,,3613,1758,5371,0.026612500000000004
2025-08-14T20:06:04,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,3,extract,,3625,464,4089,0.0137025
2025-08-14T20:07:35,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,4,extract,,3633,1840,5473,0.0274825
2025-08-14T20:08:34,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,5,extract,,3623,983,4606,0.0188875
2025-08-14T20:10:58,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,6,extract,,3642,3027,6669,0.039375
2025-08-14T20:12:14,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,7,extract,,3651,1616,5267,0.0252875
2025-08-14T20:12:25,AV4j5gSGoNtFvOaQ9gbÉ8BAjssPx5u5dfuSKGC1pK8XIHWQ8huNr0aVÉlGaRq6Z3ekU9B8irnmzg7IjlXoErosQ=,8,extract,,3428,85,3513,0.00942
2025-08-14T20:12:43,AYYf2ZXKUdd0K89O6TZxWReJleSÁHQ17Á6FnJenB4F3ÁoBWP0nTQGGLSij3kASM9ÁvpRÉaifUSÉ5157Wnh3tFOA=,1,extract,,3604,266,3870,0.01167
2025-08-14T20:13:56,AYYf2ZXKUdd0K89O6TZxWReJleSÁHQ17Á6FnJenB4F3ÁoBWP0nTQGGLSij3kASM9ÁvpRÉaifUSÉ5157Wnh3tFOA=,2,extract,,3619,1787,5406,0.0269175
2025-08-14T20:15:06,AYYf2ZXKUdd0K89O6TZxWReJleSÁHQ17Á6FnJenB4F3ÁoBWP0nTQGGLSij3kASM9ÁvpRÉaifUSÉ5157Wnh3tFOA=,3,extract,,3621,1353,4974,0.0225825
2025-08-14T20:15:29,ATCh4fbet4É56fwFgzjcHKKbVUASBwyoGzP1ruXorÉf04DuUl1ikrWDiÁK3uLCLGeg552HRdsUiXXYgXfmo1bJk=,1,extract,,3584,344,3928,0.012400000000000001
2025-08-14T20:16:25,ATCh4fbet4É56fwFgzjcHKKbVUASBwyoGzP1ruXorÉf04DuUl1ikrWDiÁK3uLCLGeg552HRdsUiXXYgXfmo1bJk=,2,extract,,3714,1367,5081,0.022955
2025-08-14T20:16:59,ATCh4fbet4É56fwFgzjcHKKbVUASBwyoGzP1ruXorÉf04DuUl1ikrWDiÁK3uLCLGeg552HRdsUiXXYgXfmo1bJk=,3,extract,,3723,717,4440,0.0164775
2025-08-14T20:17:54,ATCh4fbet4É56fwFgzjcHKKbVUASBwyoGzP1ruXorÉf04DuUl1ikrWDiÁK3uLCLGeg552HRdsUiXXYgXfmo1bJk=,4,extract,,3612,883,4495,0.01786
